entry,name,calling_convention,parameter_count,body_address_count
00401003,___begtext,unknown,0,1
00401020,App_Shutdown,unknown,0,40
004011a0,Game_Init,unknown,0,72
004011f0,DetectGameCDPath,unknown,0,118
004012c0,_WinMain@16,unknown,0,716
004015f0,nullsub_16,unknown,0,1
00401630,nullsub_17,unknown,0,1
00401720,FUN_00401720,unknown,0,175
004017d0,FUN_004017d0,unknown,0,188
00401890,FUN_00401890,unknown,0,175
00401960,nullsub_18,unknown,0,1
004019b0,W?$dt_CFieldInfo$n___,unknown,0,14
00401a40,Render_LoadResourceBackbuffer,unknown,0,104
00401af0,FUN_00401af0,unknown,0,35
00401b20,FUN_00401b20,unknown,0,119
00401ba0,FUN_00401ba0,unknown,0,155
00401c40,_LoadPalCOL,unknown,0,154
00401ce0,FUN_00401ce0,unknown,0,33
00401d10,FUN_00401d10,unknown,0,75
00401d60,FUN_00401d60,unknown,0,40
00401d90,App_RequestQuit,unknown,0,103
00401e00,FUN_00401e00,unknown,0,37
004024e0,Render_FillRect,unknown,0,867
00402850,FUN_00402850,unknown,0,852
00402bb0,Render_BlendSurfaceRect,unknown,0,709
00403d70,Render_CreateSurface,unknown,0,218
004041d0,FUN_004041d0,unknown,0,109
00404240,FUN_00404240,unknown,0,116
004043a0,FUN_004043a0,unknown,0,33
00404640,Render_UnlockBackbuffer,unknown,0,19
00404660,FUN_00404660,unknown,0,98
004046d0,Render_SetPixelFormat,unknown,0,351
00404830,Render_BeginModeSwitch,unknown,0,123
004048b0,Render_EndModeSwitch,unknown,0,183
00404970,Render_BlitSurface,unknown,0,198
00404a40,Render_SetResourceHandle,unknown,0,19
00404a60,Render_ReleaseTempSurface,unknown,0,59
00404ba0,Render_SaveBackbuffer,unknown,0,23
00404bc0,FUN_00404bc0,unknown,0,7
00404c80,FUN_00404c80,unknown,0,258
00404d90,FUN_00404d90,unknown,0,13
00404da0,FUN_00404da0,unknown,0,56
00404de0,FUN_00404de0,unknown,0,313
00404f20,FUN_00404f20,unknown,0,254
00405020,FUN_00405020,unknown,0,196
004050f0,FUN_004050f0,unknown,0,573
00405330,FUN_00405330,unknown,0,477
00405510,FUN_00405510,unknown,0,78
00405560,FUN_00405560,unknown,0,95
00405740,nullsub_19,unknown,0,1
004057c0,FUN_004057c0,unknown,0,6
004057d0,FUN_004057d0,unknown,0,4
004057e0,FUN_004057e0,unknown,0,4
004058b0,nullsub_20,unknown,0,1
00405920,FUN_00405920,unknown,0,42
00405950,FUN_00405950,unknown,0,39
00405980,FUN_00405980,unknown,0,113
00405a00,DLX_OpenArchive,unknown,0,129
00405a90,DLXSpriteSet_Load,unknown,0,461
00405db0,DLXSpriteSet__save,unknown,0,259
00405ec0,DLX_GetSpriteForChar,unknown,0,4
00405ed0,FUN_00405ed0,unknown,0,9
00405ee0,DLX_GetSpriteWidth,unknown,0,16
00405ef0,DLX_GetSpriteHeight,unknown,0,15
00405f00,DLXSpriteSet_DrawText,unknown,0,403
004060a0,FUN_004060a0,unknown,0,54
004060e0,FUN_004060e0,unknown,0,380
00406260,FUN_00406260,unknown,0,54
00406370,FUN_00406370,unknown,0,31
00406460,FUN_00406460,unknown,0,51
004064a0,FUN_004064a0,unknown,0,151
00406540,FUN_00406540,unknown,0,138
004065d0,FUN_004065d0,unknown,0,124
00406650,FUN_00406650,unknown,0,106
004066c0,FUN_004066c0,unknown,0,113
00406740,Render_DrawSprite,unknown,0,567
00406980,FUN_00406980,unknown,0,675
00406fa0,FUN_00406fa0,unknown,0,2325
00407b20,FUN_00407b20,unknown,0,100
00407b90,FUN_00407b90,unknown,0,399
00407d20,FUN_00407d20,unknown,0,770
00408030,Port_PresentInteger,unknown,0,269
00408140,FUN_00408140,unknown,0,177
00408200,FUN_00408200,unknown,0,187
004082c0,FUN_004082c0,unknown,0,39
004082f0,FUN_004082f0,unknown,0,159
00408390,FUN_00408390,unknown,0,159
00408430,FUN_00408430,unknown,0,39
00408460,Port_IsInsideArea,unknown,0,62
004084a0,FUN_004084a0,unknown,0,6175
00409cc0,FUN_00409cc0,unknown,0,29
0040a360,FUN_0040a360,unknown,0,151
0040a400,FUN_0040a400,unknown,0,66
0040a450,FUN_0040a450,unknown,0,13
0040a460,FUN_0040a460,unknown,0,36
0040a490,FUN_0040a490,unknown,0,102
0040a500,Render_LoadResourceSprite,unknown,0,247
0040a600,FUN_0040a600,unknown,0,531
